Technology type,Technology general name,Technology specific name,Target sector,Lifetime,Lifetime min,Lifetime max,Applicable geographic area,Year,Source,Capital cost marginal,Capital cost marginal min,Capital cost marginal max,Capital cost fixed,Capital cost fixed min,Capital cost fixed max,Installation cost,Installation cost min,Installation cost max,Operation cost,Operation cost min,Operation cost max,Operation cost per kW,Operation cost per kW min,Operation cost per kW max,Maintenance cost,Maintenance cost min,Maintenance cost max,OM cost,OM cost min,OM cost max,OM cost per kW,OM cost per kW min,OM cost per kW max,OM cost per kWh,OM cost per kWh min,OM cost per kWh max,Original currency,Assumed currency conversion rate,Output type,Fuel type,Prime mover,Emissions control type,Additional operational control type,Capacity,Capacity min,Capacity max,Efficiency,Efficiency min,Efficiency max,Electrical efficiency,Electrical efficiency min,Electrical efficiency max,Thermal efficiency,Thermal efficiency min,Thermal efficiency max,Heat to power ratio,Heat to power ratio min,Heat to power ratio max,Load factor,Load factor min,Load factor max,Power density,Power density min,Power density max,Area,Area min,Area max,Type of energy stored,Volumetric storage capacity,Volumetric storage capacity min,Volumetric storage capacity max,Energy storage capacity,Energy storage capacity min,Energy storage capacity max,Max charge rate,Max charge rate min,Max charge rate max,Max discharge rate,Max discharge rate min,Max discharge rate max,Charging efficiency,Charging efficiency min,Charging efficiency max,Discharging efficiency,Discharging efficiency min,Discharging efficiency max,Min state of charge,Min state of charge min,Min state of charge max,Loss rate,Loss rate min,Loss rate max,Lifetime cycles,Lifetime cycles min,Lifetime cycles max,Additional property 1 name,Additional property 1 value,Additional property 1 units,Additional property 2 name,Additional property 2 value,Additional property 2 units,Additional property 3 name,Additional property 3 value,Additional property 3 units,Additional property 4 name,Additional property 4 value,Additional property 4 units,Additional property 5 name,Additional property 5 value,Additional property 5 units,Comment
Energy conversion technology,Solar PV,,Domestic,,,,,2008,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,5444.37,6151.14,,2231.91,2975.88,,,,,,,,,,163.673,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Electric heater,,Domestic,,,,,2009,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2231.91,2975.88,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - 300 kW,,,,,,,"Carreras-Sospedra, M, Dabdub, D., Brouwer, J., Knipping, E., Kumar, N., Darrow, K., Hampson, A., Hedman, B. 2008. Air quality impacts of distributed energy resources implemented in the northeastern United States. Journal of the Air and Waste Management Association. 58. 7. 902дус912.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,EGR/3-way Catalyst,,300,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Commercial,15,,,,,Poeyry. 2009. The Potential and Costs of District Heating Networks. Poeyry. A report to the Department of Energy and Climate Change.  http://www.poyry.co.uk/sites/www.poyry.uk/files A_report_providing_a_technical_analysis_and_costing_of_DH_networks.pdf,547.562,,,,,,,,,,,,26.7829,,,,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Ground source heat pump,,Small - Industrial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,2112.87,2321.19,,,,,116059,127963,,,,5.95176,,,,,,,,,,,,,,,GBP,1.48794,Heat,,,,,55,,,,400,425,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Small - Commercial,15,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,513.339,974.601,,,,,55053.8,174089,,,,,7.4397,11.9035,,,,,,,,,,,,,GBP,1.48794,Heat,Biomass,,,,,110,180,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Caterpillar 3500,,,,,,,"Kristensen, P.G., Jensen, J.K., Nielsen, M.,  Illerup, J.B. 2002. Emission factors for gas-fires CHP units &lt; 25MW. Technical Report. Danish Gas Technology Centre. National Energy Research Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar thermal,,Small - Commercial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",2380.7,,,,,,29758.8,,,,,,26.7829,,,,,,,,,,,,,,,GBP,1.48794,Heat,,,,,12,,,50,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Natural gas boiler,Natural gas boiler - DH boiler,NA,30,,,,,Poeyry. 2009. The Potential and Costs of District Heating Networks. Poeyry. A report to the Department of Energy and Climate Change.  http://www.poyry.co.uk/sites/www.poyry.uk/files A_report_providing_a_technical_analysis_and_costing_of_DH_networks.pdf,,89.2764,,,,,,,,,,,,4.46382,,,,,,,,,,,,,,GBP,1.48794,Heat,Natural Gas,,,,,100,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,,,,,,,,"Kristensen, P.G., Jensen, J.K., Nielsen, M.,  Illerup, J.B. 2002. Emission factors for gas-fires CHP units &lt; 25MW. Technical Report. Danish Gas Technology Centre. National Energy Research Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Wind turbine,Wind turbine - Medium,,,,,,2007,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",4463.82,,,,,,,,,,,,,,,654.694,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - Hydrogen PEMFC - CHP plant 2020,,,,,,,"Hawkins, S. Joffe, D. Hughes, N. 2005. Hydrogen Fuel Cells for Stationary Power: Technology Characterisation and Market Assessment. UKSHEC Social Science Working Paper No. 24, Policy Studies Institute, London.",1708.16,,,,,,,,,,,,,,,,,,,,,22.3191,,,0.0266341,,,GBP,1.48794,CHP,Hydrogen,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Wartsila 25SG,,,,,,,"Nielsen, M., Illerup, J.B. &amp; Birr-Petersen, K. 2008. Revised emission factors for gas engines including start/stop emissions. Sub-report 3 (NERI). National Environmental Research Institute, University of Aarhus. 69 pp. - NERI Technical Report No. 672. http://www.dmu.dk/Pub/FR672.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar thermal,,Non-Domestic,,,,,2009,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,1351.05,2161.98,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Biogas,,,,,,,National Renewable Energy Laboratory. 2011. Life Cycle Assessment of Existing and Emerging Distributed Generation Technologies in California. Report for the California Energy Commission дус Public Interest Energy Research Program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar thermal,,Domestic,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,2687.22,,,,,,5951.76,,,,,,26.7829,,,,,,,,,,,,,,GBP,1.48794,Heat,Solar,,,,,3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Domestic,,,,,2012,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",252.95,,,,7587.01,8219.38,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Ground source heat pump,,Large - Industrial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,2098,2270.6,,,,,629399,681476,,,,,1.48794,,,,,,,,,,,,,,GBP,1.48794,Heat,Electricity,,,,,300,,,400,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - MWM TBG 604,,,,,,,"Nielsen, M., Illerup, J.B. &amp; Birr-Petersen, K. 2008. Revised emission factors for gas engines including start/stop emissions. Sub-report 3 (NERI). National Environmental Research Institute, University of Aarhus. 69 pp. - NERI Technical Report No. 672. http://www.dmu.dk/Pub/FR672.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Small - Industrial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,907.643,,,,,,272293,,,,,,1.48794,,,,,,,,,,,,,,GBP,1.48794,Heat,Electricity,,,,,300,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Domestic,20,,,,,Poeyry. 2009. The Potential and Costs of District Heating Networks. Poeyry. A report to the Department of Energy and Climate Change.  http://www.poyry.co.uk/sites/www.poyry.uk/files A_report_providing_a_technical_analysis_and_costing_of_DH_networks.pdf,892.764,,,,,,,,,,,,13.3915,,,,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space heating
Energy conversion technology,Ground source heat pump,,Large - Commercial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,2098,2270.6,,,,,629399,681476,,,,,1.48794,,,,,,,,,,,,,,GBP,1.48794,Heat,Electricity,,,,,300,,,360,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,,,,,,,,"Goldstein, L., Hedman, B., Knowles, D., Freedman, S.I., Woods, R., Schweizer, T. 2003. Gas-Fired Distributed Energy Resource Technology Characterizations. Gas Research Institute. National Renewable Energy Laboratory. Report for the U.S. Department of Energy дус Office of Energy Efficiency and Renewabl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Domestic,,,,,2025,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",191.944,,,,5761.3,6241.91,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar PV,,Domestic,,,,,2007,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,5926.46,6695.73,,2231.91,2975.88,,,,,,,,,,163.673,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Non-Domestic,,,,,2015,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",581.785,,,,,,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Gas turbine,,,,,,,,"Kristensen, P.G., Jensen, J.K., Nielsen, M.,  Illerup, J.B. 2002. Emission factors for gas-fires CHP units &lt; 25MW. Technical Report. Danish Gas Technology Centre. National Energy Research Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Gas turbine,,,,,,,,"Nielsen, M., Nielsen, O.K., Thomsen, M. 2010. Emissions from Decentralised CHP Plants 2007 дус Energinet.dk Environmental project no. 07/1882 дус Project report 5 дус Emission factors and emissions inventory for the decentralised CHP production.  National Environmental Research Institute, Aarhus Universit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar PV,,Non-Domestic,,,,,2011,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,4873,5414.61,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - 50 kW
Energy conversion technology,Wind turbine,Wind turbine - Small,,,,,,,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electricity,,,,,,2.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Wind turbine,Wind turbine - Micro,,,,,,2007,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",2975.88,,,,4463.82,5207.79,,,,,,,,,,163.673,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lower fixed cost for new build is due to the fact that the equipment is already on site for the building construction
Energy conversion technology,Gas turbine,Gas turbine - Small,,,,,,,Regulatory Assistance Project.  2001. Model Regulations for the Output of Specified Air Emissions from Smaller-scale Electric Generation Resources.  Model Rule and Technical Support Documents. Regulatory Assistance Project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - Solid Oxide,,,,,,,Regulatory Assistance Project.  2001. Model Regulations for the Output of Specified Air Emissions from Smaller-scale Electric Generation Resources.  Model Rule and Technical Support Documents. Regulatory Assistance Project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar PV,,Non-Domestic,,,,,2009,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,5670.54,6299.94,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - 50 kW
Energy conversion technology,Microturbine,Microturbine - 70 kW,,,,,,,"Energy and Environmental Analysis, Inc. 2004. Distributed Energy Resources Emissions Survey and Technology Characterizations. Technical Report. Electricity Innovation Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,70,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Electric heater,,Domestic,,,,,2014,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2231.91,2975.88,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Electric heater,,Commercial,15,,,,,Poeyry. 2009. The Potential and Costs of District Heating Networks. Poeyry. A report to the Department of Energy and Climate Change.  http://www.poyry.co.uk/sites/www.poyry.uk/files A_report_providing_a_technical_analysis_and_costing_of_DH_networks.pdf,,328.835,,,,,,,,,,,,16.3673,,,,,,,,,,,,,,GBP,1.48794,Heat,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Steam turbine,Steam turbine - Pass out condensing,,,,,,,Department of Energy and Climate Change. 2010. Digest of United Kingdom Energy Statistics (DUKES). Department of Energy &amp; Climate Change. www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - Gas driven MCFC - CHP 2020,,,,,,,"Hawkins, S. Joffe, D. Hughes, N. 2005. Hydrogen Fuel Cells for Stationary Power: Technology Characterisation and Market Assessment. UKSHEC Social Science Working Paper No. 24, Policy Studies Institute, London.",1282.6,,,,,,,,,,,,,,,,,,,,,22.3191,,,0.0279733,,,GBP,1.48794,CHP,Natural Gas,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Natural gas boiler,Natural gas boiler - Condensing boiler,Domestic,,,,,2015,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2975.88,3719.85,,,,,,,,,,130.939,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - Gas driven SOFC - CHP 2020,,,,,,,"Hawkins, S. Joffe, D. Hughes, N. 2005. Hydrogen Fuel Cells for Stationary Power: Technology Characterisation and Market Assessment. UKSHEC Social Science Working Paper No. 24, Policy Studies Institute, London.",1398.66,,,,,,,,,,,,,,,,,,,,,22.3191,,,0.02098,,,GBP,1.48794,CHP,Natural Gas,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Domestic,,,,,2050,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,7499.22,9165.71,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,Biomass boiler - District heating boiler,Small - Industrial,35,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,944.842,1859.93,,,,,95228.2,651718,,,,,23.807,46.1261,,,,,,,,,,,,,GBP,1.48794,Heat,Biomass,,,,,100,350,73,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Wind turbine,Wind turbine - Micro,,,,,,,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electricity,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar thermal,,Non-Domestic,,,,,2011,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,1240.94,1984.91,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Electric heater,,Domestic,,,,,2012,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2231.91,2975.88,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Microturbine,,,,,,,,"Allison, JE. and Lents, J. 2002. Encouraging distributed generation of power that improves air quality: can we have our cake and eat it too?. Energy Policy. 30. 9. 737 дус 752.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
